Date,Map,Opponent,Rokkr P1,Opponent P1,Net P1,Rokkr P2,Opponent P2,Net P2,Rokkr P3,Opponent P3,Net P3,Rokkr P4,Opponent P4,Net P4,Rokkr P5,Opponent P5,,Rokkr P6,Opponent P6,Net P6,Rokkr P7,Opponent P7,Net P7,Slaying +/-,Map W/L,Team KD Ratio,OUTSLAYED AND LOST
5-Nov,Mercado,FL,25,29,-4,53,54,-1,85,5,80,0,47,-47,12,32,-20,51,0,51,24,20,4,-7,W,0.75308642,FALSE
5-Nov,Fortress,ATL,70,37,33,33,58,-25,0,106,-106,101,8,93,45,41,4,-97,-139,42,0,0,0,-18,L,0.653846154,FALSE
5-Nov,Hotel,ATL,46,30,16,53,26,27,25,71,-46,53,10,43,60,0,60,13,33,-20,-187,-83,-104,5,W,0.782608696,FALSE
5-Nov,Embassy,ATL,58,0,58,52,16,36,30,40,-10,43,59,-16,42,60,-18,-121,-77,-44,0,0,0,19,W,0.953488372,FALSE
5-Nov,Mercado,ATL,32,20,12,21,31,-10,0,54,-54,19,38,-19,18,22,-4,0,56,-56,14,29,-15,-32,L,0.46835443,FALSE
6-Nov,Fortress,LAG,75,22,53,10,94,-84,66,20,46,44,32,12,55,22,33,-74,-135,61,0,0,0,15,W,0.933333333,FALSE
6-Nov,Hotel,LAG,51,4,47,41,44,-3,66,36,30,25,60,-35,8,95,-87,44,11,33,-133,-130,-3,2,L,0.84,FALSE
6-Nov,Embassy,LAG,62,19,43,24,49,-25,52,33,19,60,38,22,52,52,0,-144,-66,-78,0,0,0,10,W,0.872093023,FALSE
6-Nov,Mercado,LAG,32,6,26,58,37,21,32,53,-21,31,26,5,33,5,28,33,17,16,31,20,11,34,W,1.142857143,FALSE
6-Nov,Hydro,LAG,48,66,-18,40,57,-17,39,34,5,49,32,17,31,46,-15,-131,-95,-36,0,0,0,-6,L,0.711538462,FALSE
6-Nov,Embassy,BOS,41,45,-4,61,39,22,6,57,-51,53,50,3,43,59,-16,-82,-110,28,0,0,0,-8,L,0.653465347,FALSE
6-Nov,Hotel,BOS,43,42,1,102,1,101,0,93,-93,61,23,38,23,17,6,21,30,-9,-109,-152,43,24,W,1.109375,FALSE
6-Nov,Fortress,BOS,50,22,28,78,19,59,39,63,-24,44,33,11,39,18,21,-124,-90,-34,0,0,0,20,W,0.945054945,FALSE
6-Nov,Mercado,BOS,28,28,0,40,64,-24,57,53,4,15,53,-38,44,0,44,15,34,-19,31,18,13,3,L,0.807228916,FALSE
6-Nov,Hydro,BOS,23,47,-24,112,0,112,46,52,-6,31,28,3,38,16,22,-117,-91,-26,0,0,0,26,W,1.127272727,FALSE
6-Nov,Embassy,BOS,49,4,45,38,48,-10,30,52,-22,100,8,92,33,65,-32,-171,-58,-113,0,0,0,18,W,0.941176471,FALSE
7-Nov,Fortress,LAT,39,44,-5,107,4,103,-1,112,-113,71,28,43,34,45,-11,-102,-148,46,0,0,0,10,W,0.775280899,FALSE
7-Nov,Embassy,LAT,41,19,22,46,90,-44,65,30,35,39,40,-1,12,71,-59,-99,-125,26,0,0,0,7,L,0.783783784,TRUE
7-Nov,Mercado,LAT,60,2,58,50,57,-7,20,74,-54,39,15,24,43,4,39,32,15,17,0,55,-55,18,W,0.943661972,FALSE
7-Nov,Hydro,LAT,20,64,-44,83,17,66,26,49,-23,2,100,-98,67,19,48,-99,-114,15,0,0,0,-10,L,0.606382979,FALSE
7-Nov,Fortress,TX,63,58,5,80,39,41,52,25,27,40,42,-2,15,55,-40,-127,-62,-65,0,0,0,23,W,0.87254902,FALSE
7-Nov,Embassy,TX,34,6,28,69,23,46,54,22,32,56,56,0,37,32,5,-168,-54,-114,0,0,0,27,W,1.034482759,FALSE
7-Nov,Mercado,TX,45,30,15,61,0,61,1,50,-49,43,4,39,10,31,-21,38,12,26,52,2,50,22,W,0.983050847,FALSE
8-Nov,Fortress,ATL,12,78,-66,41,62,-21,19,40,-21,40,40,0,0,30,-30,-53,-157,104,0,0,0,-27,L,0.52688172,FALSE
